dQ_var,dQ_min,dQ_skew,dQ_kurt,fade_slope,fade_intercept,ir_cycle2,ir_min,avg_chargetime_5,temp_integral,cell_id,cycle_life,charge_policy,split
-5.05152650567645,-2.050261434472745,-0.7267026025752379,-0.9099969335087681,-0.00020680701298701792,1.0911437324098123,0.016742354,0.016443744,10.706726999999997,3128.770985553454,b1c0,1852.0,3.6C(80%)-3.6C,test
-5.135776157670656,-2.045149878424103,-0.3169564817656039,-1.0385468962864224,5.535292516999699e-06,1.0809645798796126,0.017038831,0.0,10.7239,3101.7011163858174,b1c1,2160.0,3.6C(80%)-3.6C,train
-4.951882733169134,-1.986994080593585,-0.43748325865268534,-1.173738988697314,1.0295625231906745e-05,1.0848461200828692,0.01686798,0.0,10.689973666666665,3116.47882720791,b1c2,2237.0,3.6C(80%)-3.6C,test
-4.386347705983305,-1.7033213351118928,-0.4763294264106879,-1.1242193497929414,1.7136347557209165e-05,1.084075015971552,0.016369704,0.0,9.606652333333338,2964.2776819876863,b1c3,1434.0,4C(80%)-4C,train
-4.604779244757431,-1.8373966800088448,-0.34918471190495554,-1.361163641918983,1.8994317872609844e-05,1.0818748211016278,0.016787428,0.0,9.640239000000001,3113.439499582398,b1c4,1709.0,4C(80%)-4C,test
-4.155832104301828,-1.5836357259876548,-0.14129639445225983,-1.1923633339072701,1.1228400742114224e-05,1.0797547949964952,0.016437579,0.015922785,8.78444833333333,3061.228273652725,b1c5,1074.0,4.4C(80%)-4.4C,train
-3.771282900446616,-1.4142291992982903,-0.39345568763987226,-1.2100197715704937,-4.808646876938924e-06,1.081157025839208,0.017001977,0.0,8.057924666666661,3195.1106767261076,b1c6,636.0,4.8C(80%)-4.8C,test
-3.8218343867297078,-1.4288569192482274,-0.3087005454831751,-1.1124070144676745,-6.42818800247794e-06,1.0972542699113585,0.016311171,0.0,8.023568333333333,3167.0183664124866,b1c7,870.0,4.8C(80%)-4.8C,train
-3.9786447664056386,-1.528094578572831,-0.459564788048643,-1.2049044920588108,1.8204385899806905e-05,1.086771424803958,0.016978227,0.016611163,8.966393333333333,3231.511827515521,b1c9,1054.0,5.4C(40%)-3.6C,test
-4.099071517851837,-1.598897340840833,-0.6055151015258434,-1.1836510200124981,2.1809402597400947e-05,1.0589716063261179,0.016575078,0.0,9.338446666666659,3243.17293801687,b1c11,788.0,5.4C(50%)-3C,train
-4.048738886513733,-1.5481536730053467,-0.2634752841050489,-1.298233222446471,2.6234124922698223e-05,1.074764976800659,0.017121186,0.016649306,8.611742666666668,3274.6688171939036,b1c14,880.0,5.4C(60%)-3C,test
-4.025167590102825,-1.5401256181623297,-0.4664676562056214,-1.2281123797806603,2.904936054421284e-05,1.0661753684708304,0.017168047,0.016542939,8.645039666666671,3281.6242903351717,b1c15,719.0,5.4C(60%)-3C,train
-4.101591309254797,-1.5594277738622802,-0.08224682533019421,-1.237678780181304,2.3160274582555584e-05,1.0852883825619455,0.01683085,0.0,8.093809666666676,3209.299092124971,b1c16,862.0,5.4C(60%)-3.6C,test
-3.997218107234343,-1.5195208556855826,-0.2997156188803044,-1.2846575666180347,1.7886231292523448e-05,1.0761940385677173,0.016778639,0.016238289,8.110859333333337,3176.78663199491,b1c17,857.0,5.4C(60%)-3.6C,train
-3.664001737186456,-1.3630779264684996,-0.06537570497015188,-1.383117457557724,-0.0002945415905998791,1.1014650039488763,0.019886132,0.015845969,7.966195666666669,3151.274670286184,b1c18,691.0,5.4C(70%)-3C,test
-3.6343701367071035,-1.350035823838756,-0.2890597420994057,-1.3148165158702336,-1.0355845392700724e-05,1.0888966198321992,0.016449727,0.016205151,7.933153666666664,3271.364454310662,b1c19,788.0,5.4C(70%)-3C,train
-3.363507130071331,-1.2038665836444875,0.2557789609088581,-1.0898909258045546,-0.00013977618181817777,1.0769696711313128,0.015740737,0.0,7.20708666666668,3183.139279736961,b1c20,534.0,5.4C(80%)-5.4C,test
-3.3422972190384663,-1.190852909395032,-0.09599544059877287,-1.1488812926670497,-8.178444155844591e-05,1.0863975044992782,0.015348774,0.0,7.185390333333338,3280.5603974242968,b1c21,559.0,5.4C(80%)-5.4C,train
-4.029666035704335,-1.5244336066931528,-0.12334341519859611,-1.244859507344768,-6.950910327772603e-06,1.0828155540024733,0.016937815,0.016472535,9.16092400000002,3167.086680170319,b1c23,1014.0,6C(30%)-3.6C,test
-3.9250816786805744,-1.4880158027614023,-0.3245988046886833,-1.2772125991334478,2.024258503403737e-06,1.077929949685013,0.016687831,0.016390581,9.711639333333338,3304.428331230595,b1c24,1017.0,6C(40%)-3C,train
-3.9972287132910425,-1.5156434615482994,-0.34649363043270937,-1.2510345515622412,5.12931354361571e-07,1.0788217283797148,0.016699277,0.016397864,9.693922666666676,3351.00715032098,b1c25,854.0,6C(40%)-3C,test
-3.776006370634551,-1.4068805367492165,-0.12343656114125279,-1.2733408671859159,-1.521046134818085e-05,1.0913500214075447,0.016376387,0.016129743,8.612085999999998,3282.4849920540746,b1c26,870.0,6C(40%)-3.6C,train
-3.8339084154439664,-1.435252504140078,-0.29744779638445606,-1.2301666379763128,-1.0758799010519626e-05,1.0825847381434752,0.016174601,0.015953196,8.644218999999989,3355.6020303685223,b1c27,842.0,6C(40%)-3.6C,test
-3.829274655012454,-1.4213913125307793,-0.14019608763400415,-1.253101341928139,-7.726680272115018e-06,1.0810896899868068,0.016742077,0.016467512,8.893930333333337,3343.6062519791576,b1c28,860.0,6C(50%)-3C,train
-3.8246334539101077,-1.4272987466248848,-0.14122285665008763,-1.284826671046729,-5.212719851575346e-06,1.0830486699245512,0.016626336,0.016308507,8.94348133333333,3237.7114457540215,b1c29,917.0,6C(50%)-3C,test
-3.7483119064016144,-1.3900579606401087,-0.2690043630808585,-1.2351590425315913,-1.6368218923929572e-05,1.083658496336837,0.016072329,0.015838005,8.110795666666666,3320.468742385531,b1c30,709.0,6C(50%)-3.6C,train
-3.76971394290969,-1.3966115264661703,-0.10029300976124196,-1.2414052732975414,-2.62010822510796e-05,1.09840466024531,0.016952254,0.016684072,8.07767100000001,3007.1642777699058,b1c31,876.0,6C(50%)-3.6C,test
-3.6475238217307786,-1.33811315000358,-0.13939179368308938,-1.2810164081254085,-1.2776272108848686e-05,1.0813230393725,0.016239462,0.015933495,8.077159666666661,3274.9698015276995,b1c32,731.0,6C(60%)-3C,train
-3.668253214351233,-1.3490054507290534,0.07968492403720542,-1.2357215984420555,-2.1812165739027016e-05,1.0966040669173367,0.016591828,0.016214989,8.110363666666672,3333.498063827802,b1c33,757.0,6C(60%)-3C,test
-3.843103835917253,-1.4251085145485836,-0.12984674365657425,-1.1972733212323619,-3.129647495333547e-07,1.0800859500911144,0.0169825,0.016567618,8.850996333333322,3233.7906158322385,b1c34,742.0,7C(30%)-3.6C,train
-3.759319457975976,-1.3988548768548348,-0.08768049532643944,-1.29762774857787,3.195320964752807e-06,1.0743447123681709,0.017059039,0.016647711,8.834273333333325,3177.636103475647,b1c35,703.0,7C(30%)-3.6C,test
-3.65615878883991,-1.34763214378522,-0.015655537161848032,-1.3021604806589417,-7.183043908475764e-06,1.0816428948352914,0.016480684,0.016229769,9.219930000000009,3172.6413236361514,b1c36,704.0,7C(40%)-3C,train
-3.6600036122972632,-1.349434869372297,-0.2205501419268106,-1.2886953448041596,-9.680958565245865e-06,1.0785237713110696,0.016607935,0.016318144,9.269375000000014,3263.010188357595,b1c37,648.0,7C(40%)-3C,test
-3.4325733462933345,-1.2387435733580296,-0.04937203124437685,-1.3409768915392206,-9.43712430427038e-06,1.0762827994001234,0.016260354,0.016066672,8.204151000000007,3335.779909779967,b1c38,617.0,7C(40%)-3.6C,train
-3.507486222041217,-1.2678212736969623,-0.14264054498385528,-1.27010935717558,-3.294477427340171e-06,1.0858270173386928,0.016743599,0.016519627,8.203530000000004,3317.136883985134,b1c39,625.0,7C(40%)-3.6C,test
