dQ_var,dQ_min,dQ_skew,dQ_kurt,dQ_iqr,dQ_mean,fade_slope,fade_intercept,qd_diff_2_max,ir_cycle2,ir_min,ir_slope,avg_chargetime_5,temp_integral,temp_min,temp_max,cell_id,cycle_life,charge_policy,split
-5.05152650567645,-2.050261434472745,-0.7267026025752379,-0.9099969335087681,-2.280590694604577,-2.55371224415354,-0.00020680701298701792,1.0911437324098123,0.46836520000000004,0.016742354,0.016443744,-6.107912059367798e-07,10.706726999999997,3128.770985553454,29.012251,35.994705,b1c0,[[1852.]],3.6C(80%)-3.6C,test
-5.135776157670656,-2.045149878424103,-0.3169564817656039,-1.0385468962864224,-2.369300508727541,-2.4280265050760232,5.535292516999699e-06,1.0809645798796126,0.009288300000000138,0.017038831,0.0,9.00848801484234e-06,10.7239,3101.7011163858174,29.230637,34.712265,b1c1,[[2160.]],3.6C(80%)-3.6C,train
-4.951882733169134,-1.986994080593585,-0.43748325865268534,-1.173738988697314,-2.2484835166679282,-2.383162523225907,1.0295625231906745e-05,1.0848461200828692,0.008131200000000005,0.01686798,0.0,9.229667458256058e-06,10.689973666666665,3116.47882720791,29.269444,35.127342,b1c2,[[2237.]],3.6C(80%)-3.6C,test
-4.386347705983305,-1.7033213351118928,-0.4763294264106879,-1.1242193497929414,-1.9642588492850748,-2.1047481217892483,1.7136347557209165e-05,1.084075015971552,0.006530099999999983,0.016369704,0.0,8.689379270253483e-06,9.606652333333338,2964.2776819876863,29.023619,31.691414,b1c3,[[1434.]],4C(80%)-4C,train
-4.604779244757431,-1.8373966800088448,-0.34918471190495554,-1.361163641918983,-2.0258302460358,-2.202790219051812,1.8994317872609844e-05,1.0818748211016278,0.005899899999999958,0.016787428,0.0,8.31220397031535e-06,9.640239000000001,3113.439499582398,29.092649,35.651741,b1c4,[[1709.]],4C(80%)-4C,test
-4.155832104301828,-1.5836357259876548,-0.14129639445225983,-1.1923633339072701,-1.8573968433009738,-1.9379809711187899,1.1228400742114224e-05,1.0797547949964952,0.005943800000000055,0.016437579,0.015922785,-1.8453287569578261e-07,8.78444833333333,3061.228273652725,28.914812,34.654667,b1c5,[[1074.]],4.4C(80%)-4.4C,train
-3.771282900446616,-1.4142291992982903,-0.39345568763987226,-1.2100197715704937,-1.649589710025116,-1.7913997328657654,-4.808646876938924e-06,1.081157025839208,0.006303200000000064,0.017001977,0.0,6.7715181694494954e-06,8.057924666666661,3195.1106767261076,29.495056,36.496124,b1c6,[[636.]],4.8C(80%)-4.8C,test
-3.8218343867297078,-1.4288569192482274,-0.3087005454831751,-1.1124070144676745,-1.7213263245259733,-1.7846161190977377,-6.42818800247794e-06,1.0972542699113585,0.004104200000000002,0.016311171,0.0,8.39748184291892e-06,8.023568333333333,3167.0183664124866,29.368095,36.053928,b1c7,[[870.]],4.8C(80%)-4.8C,train
-3.9786447664056386,-1.528094578572831,-0.459564788048643,-1.2049044920588108,-1.7464065605804004,-1.9135110920924339,1.8204385899806905e-05,1.086771424803958,0.005975700000000028,0.016978227,0.016611163,9.212573654916149e-07,8.966393333333333,3231.511827515521,29.999718,36.799232,b1c9,[[1054.]],5.4C(40%)-3.6C,test
-4.099071517851837,-1.598897340840833,-0.6055151015258434,-1.1836510200124981,-1.7727811497546724,-2.0455925334055367,2.1809402597400947e-05,1.0589716063261179,0.009460400000000035,0.016575078,0.0,7.550505739022917e-06,9.338446666666659,3243.17293801687,29.87781,37.128967,b1c11,[[788.]],5.4C(50%)-3C,train
